Ticker,Name,Sector,Industry,Price,Collection,Ratios Code
DOW,The Dow Chemical Company,Basic Materials,Chemicals - Major Diversified,WIKI/DOW,stocks/dow,DMDRN/DOW_ALLFINANCIALRATIOS
DPS,"Dr Pepper Snapple Group, Inc.",Consumer Goods,Beverages - Soft Drinks,WIKI/DPS,stocks/dps,DMDRN/DPS_ALLFINANCIALRATIOS
DRI,"Darden Restaurants, Inc.",Services,Restaurants,WIKI/DRI,stocks/dri,DMDRN/DRI_ALLFINANCIALRATIOS
DTE,DTE Energy Company,Utilities,Electric Utilities,WIKI/DTE,stocks/dte,DMDRN/DTE_ALLFINANCIALRATIOS
DTV,DIRECTV,Services,CATV Systems,WIKI/DTV,stocks/dtv,DMDRN/DTV_ALLFINANCIALRATIOS
DUK,Duke Energy Corporation,Utilities,Diversified Utilities,WIKI/DUK,stocks/duk,DMDRN/DUK_ALLFINANCIALRATIOS
DVA,DaVita HealthCare Partners Inc.,Healthcare,Specialized Health Services,WIKI/DVA,stocks/dva,DMDRN/DVA_ALLFINANCIALRATIOS
DVN,Devon Energy Corporation,Basic Materials,Independent Oil & Gas,WIKI/DVN,stocks/dvn,DMDRN/DVN_ALLFINANCIALRATIOS
EA,Electronic Arts Inc.,Technology,Multimedia & Graphics Software,WIKI/EA,stocks/ea,DMDRN/EA_ALLFINANCIALRATIOS
EBAY,eBay Inc.,Services,"Specialty Retail, Other",WIKI/EBAY,stocks/ebay,DMDRN/EBAY_ALLFINANCIALRATIOS
ECL,Ecolab Inc.,Consumer Goods,Cleaning Products,WIKI/ECL,stocks/ecl,DMDRN/ECL_ALLFINANCIALRATIOS
ED,"Consolidated Edison, Inc.",Utilities,Diversified Utilities,WIKI/ED,stocks/ed,DMDRN/ED_ALLFINANCIALRATIOS
EFX,Equifax Inc.,Financial,Credit Services,WIKI/EFX,stocks/efx,DMDRN/EFX_ALLFINANCIALRATIOS
F,Ford Motor Co.,Consumer Goods,Auto Manufacturers - Major,WIKI/F,stocks/f,DMDRN/F_ALLFINANCIALRATIOS
FAST,Fastenal Company,Services,Industrial Equipment Wholesale,WIKI/FAST,stocks/fast,DMDRN/FAST_ALLFINANCIALRATIOS
FB,"Facebook, Inc.",Technology,Internet Information Providers,WIKI/FB,stocks/fb,DMDRN/FB_ALLFINANCIALRATIOS
FCX,Freeport-McMoRan Copper & Gold Inc.,Basic Materials,Copper,WIKI/FCX,stocks/fcx,DMDRN/FCX_ALLFINANCIALRATIOS
FDO,Family Dollar Stores Inc.,Services,"Discount, Variety Stores",WIKI/FDO,stocks/fdo,DMDRN/FDO_ALLFINANCIALRATIOS
FDX,FedEx Corporation,Services,Air Delivery & Freight Services,WIKI/FDX,stocks/fdx,DMDRN/FDX_ALLFINANCIALRATIOS
FE,FirstEnergy Corp.,Utilities,Electric Utilities,WIKI/FE,stocks/fe,DMDRN/FE_ALLFINANCIALRATIOS
FFIV,"F5 Networks, Inc.",Technology,Business Software & Services,WIKI/FFIV,stocks/ffiv,DMDRN/FFIV_ALLFINANCIALRATIOS
FIS,"Fidelity National Information Services, Inc.",Technology,Information Technology Services,WIKI/FIS,stocks/fis,DMDRN/FIS_ALLFINANCIALRATIOS
FISV,"Fiserv, Inc.",Services,Business Services,WIKI/FISV,stocks/fisv,DMDRN/FISV_ALLFINANCIALRATIOS
FITB,Fifth Third Bancorp,Financial,Regional - Midwest Banks,WIKI/FITB,stocks/fitb,DMDRN/FITB_ALLFINANCIALRATIOS
FLIR,"FLIR Systems, Inc.",Technology,Scientific & Technical Instruments,WIKI/FLIR,stocks/flir,DMDRN/FLIR_ALLFINANCIALRATIOS
FLR,Fluor Corporation,Industrial Goods,Heavy Construction,WIKI/FLR,stocks/flr,DMDRN/FLR_ALLFINANCIALRATIOS
FLS,Flowserve Corp.,Industrial Goods,Diversified Machinery,WIKI/FLS,stocks/fls,DMDRN/FLS_ALLFINANCIALRATIOS
FMC,FMC Corp.,Basic Materials,Chemicals - Major Diversified,WIKI/FMC,stocks/fmc,DMDRN/FMC_ALLFINANCIALRATIOS
FOSL,"Fossil Group, Inc.",Consumer Goods,"Recreational Goods, Other",WIKI/FOSL,stocks/fosl,DMDRN/FOSL_ALLFINANCIALRATIOS
FSLR,"First Solar, Inc.",Technology,Semiconductor - Specialized,WIKI/FSLR,stocks/fslr,DMDRN/FSLR_ALLFINANCIALRATIOS
FTI,"FMC Technologies, Inc.",Basic Materials,Oil & Gas Equipment & Services,WIKI/FTI,stocks/fti,DMDRN/FTI_ALLFINANCIALRATIOS
FTR,Frontier Communications Corporation,Technology,Telecom Services - Domestic,WIKI/FTR,stocks/ftr,DMDRN/FTR_ALLFINANCIALRATIOS
GAS,AGL Resources Inc.,Utilities,Gas Utilities,WIKI/GAS,stocks/gas,DMDRN/GAS_ALLFINANCIALRATIOS
GCI,"Gannett Co., Inc.",Services,Publishing - Newspapers,WIKI/GCI,stocks/gci,DMDRN/GCI_ALLFINANCIALRATIOS
